,adaboost,ann,decision tree,knn,linearSVM,logistic regression,random forrest
0,0.8994413407821229,0.835195530726257,0.7960893854748603,0.840782122905028,0.8491620111731844,0.8379888268156425,0.8421787709497207
1,0.8687150837988827,0.8729050279329609,0.8687150837988827,0.8645251396648045,0.8756983240223464,0.8645251396648045,0.8701117318435754
2,0.9078212290502793,0.9064245810055865,0.835195530726257,0.914804469273743,0.9050279329608939,0.9050279329608939,0.8994413407821229
3,0.9162011173184358,0.9064245810055865,0.8002793296089385,0.909217877094972,0.9120111731843575,0.9078212290502793,0.9036312849162011
4,0.888268156424581,0.888268156424581,0.8910614525139665,0.8854748603351955,0.8854748603351955,0.8756983240223464,0.8938547486033519
5,0.9022346368715084,0.8910614525139665,0.9022346368715084,0.8910614525139665,0.888268156424581,0.8980446927374302,0.9022346368715084
6,0.8840782122905028,0.946927374301676,0.9846368715083799,0.9301675977653632,0.8784916201117319,0.8812849162011173,0.9427374301675978
7,0.9273743016759777,0.9539106145251397,0.9888268156424581,0.9455307262569832,0.9287709497206704,0.9189944134078212,0.9692737430167597
8,0.8561452513966481,0.8337988826815642,0.8449720670391061,0.8296089385474861,0.8296089385474861,0.8519553072625698,0.840782122905028
9,0.8575418994413407,0.8310055865921788,0.7067039106145251,0.8435754189944135,0.8296089385474861,0.8547486033519553,0.8296089385474861
